Id,UserId,StartTimeInSeconds,DurationInSeconds,DistanceInMeters,Steps,AverageSpeedInMetersPerSecond,AveragePaceInMinutesPerKilometer,TotalElevationGainInMeters,AverageHeartRateInBeatsPerMinute
1,10,1665239344,1500,4442.99,4224,2.962,5.626829,16.02,165
2,10,1665325877,1800,5262.85,4864,2.924,5.6999545,80.48,162
6,10,1667740865,1800,5311.3,5084,2.951,5.6478033,7.24,167
7,10,1667831813,540,303.52,1108,0.562,29.65599,0,112
10,10,1668348621,1727,5004.66,4730,2.898,5.7510924,205.09,158
12,10,1665927809,1800,5123.38,5026,2.846,5.8561726,24.62,159
13,10,1666267228,2400,6490.51,6616,2.704,6.163708,320.7,161
15,10,1666698006,1921,5365.99,5326,2.793,5.9672995,102.27,165
16,10,1666871499,2421,6668.86,6530,2.754,6.051803,40.72,160
20,10,1669466308,2336,6080.73,6436,2.603,6.4028687,354.06,162
23,10,1665058822,1503,4451.72,4232,2.962,5.626829,24.4,168
24,10,1667134304,2397,6194.05,6556,2.584,6.449948,175.69,166
25,10,1668952258,1509,4281.05,4220,2.837,5.8747506,26.86,163
27,20,1664922933,1500,4717.73,3998,3.144,5.3011026,33.799805,146
29,20,1665053799,3172,4982.99,5504,1.571,10.608953,224.3904,132
30,20,1666015364,2817,6528.51,7474,2.318,7.190106,458.53366,157
31,20,1666541562,7201,20029.3,18678,2.781,5.993048,265.26953,138
35,20,1669553874,2521,7315.07,6628,2.902,5.7431655,83.13672,152
36,20,1669849764,2221,6300.93,5570,2.837,5.8747506,59.225098,145
39,20,1665242519,1201,3287.11,3116,2.736,6.091618,16.979248,141
43,20,1667516219,2400,6766.7,6212,2.819,5.912262,25.738525,139
46,20,1669160482,2401,7359.09,6332,3.065,5.437738,42.65869,156
47,20,1665336526,901,2795.27,2370,3.102,5.3728776,37.552734,144
48,20,1665532298,1804,5377.82,4704,2.982,5.58909,56.49707,136
50,20,1665841987,2701,7568.25,6994,2.802,5.948132,58.493896,135
51,20,1668348267,3457,9082.27,9136,2.628,6.341958,80.818115,130
53,20,1668725745,3771,10701.88,9804,2.838,5.87268,85.35889,144
54,10,1669982345,1169,3615.27,3338,3.091,5.3919983,18.58,163
57,30,1666015364,2837,6528.93,7340,2.302,7.2400813,459.2815,154
58,30,1666541562,1698,4717.09,4378,2.778,5.99952,72.31177,128
70,30,1666543761,5472,15348.54,14208,2.805,5.9417706,218.2876,136
73,30,1669160483,2703,8142.03,7088,3.013,5.531585,26.947021,150
75,30,1665532301,2834,8021.99,7452,2.831,5.8872013,76.755615,146
76,30,1666307637,3978,10713.62,10532,2.693,6.1888843,144.54565,149
77,30,1668255135,2811,8513.92,7638,3.029,5.502366,92.74609,158
79,20,1670021410,1799,5112.64,4704,2.84,5.868545,22.574219,139
89,40,1668683388,901,2850.6,2550,3.163,5.269259,22.277588,154
92,40,1668944677,3167,10009.7,8958,3.161,5.2725935,31.580078,150
102,40,1667571728,4071,2915.9,3472,0.716,23.277468,46.91919,102
103,40,1667577007,1381,1356.18,2110,0.982,16.972166,31.915527,113
104,40,1667740825,2267,277.89,930,0.123,135.50134,,120
108,40,1669553882,2599,7343.6,7002,2.826,5.8976173,44.099365,160
116,40,1667394950,1435,4016.16,3974,2.798,5.956636,24.613525,132
121,40,1665697531,3160,4173.73,5740,1.321,12.616705,53.426514,104
138,40,1668339199,3208,10009.23,9030,3.12,5.341881,54.24878,160
139,50,1665400099,2490,5304,6768,2.13,7.8247256,4,148
140,50,1665834130,962,2315.12,2666,2.406,6.927127,2,159
141,50,1665914579,2618,5780.28,7200,2.208,7.5483093,4,148
142,50,1666098099,3535,7281.57,9992,2.06,8.090615,90.101074,140
143,50,1666691756,2439,5241.04,7182,2.149,7.755545,53.66626,140
144,50,1666916354,2717,5871.41,7848,2.161,7.7124786,77.2522,143
145,50,1668347865,4315,10016.19,12386,2.321,7.1808124,126.823,160
146,50,1668548783,3612,7908.94,9958,2.19,7.61035,96.806885,139
147,50,1668603809,2113,5233.55,6270,2.477,6.7285695,60.36035,160
148,50,1669723217,2531,5054.98,6460,1.997,8.345852,17.479517,134
149,50,1665094787,2149,4375.93,6008,2.036,8.185986,60.04785,154
150,50,1665145712,1932,3362.94,4366,1.74,9.578544,49.562256,111
151,50,1665238921,2437,5084.14,6946,2.086,7.9897733,53.204834,152
152,50,1666993624,1857,4111.47,5414,2.214,7.527853,52.34668,144
153,50,1667051138,3247,7005.38,9620,2.158,7.7232003,116.09985,148
155,50,1667296724,3615,7814.57,10466,2.162,7.708912,92.13599,145
156,50,1667383225,2503,4959.23,7006,1.982,8.409015,45.394287,146
157,50,1669111421,3610,7682.85,9912,2.128,7.8320804,51.67041,150
158,50,1669810265,2411,5316.85,6988,2.206,7.5551524,10.621784,140
159,50,1666442501,4155,9046.85,12218,2.177,7.6557956,80.895996,145
160,50,1666531941,1819,3885.35,5256,2.136,7.802747,52.2959,141
161,50,1667469468,2888,6211.81,8064,2.151,7.748334,68.926025,141
162,50,1667655296,4443,10036.75,13066,2.259,7.377896,75.45874,142
